opeid6,name,VA_earnings,VA_condearnings,VA_emp,VA_gainfulemp
41589,Flair Beauty College,-222.88478,-4800.7632,.11639157,.034519102
41593,Marketti Academy of Cosmetology,-1535.5712,-6157.2305,.11259879,.036894269
41596,Galaxy Medical College,3955.5449,-1057.9838,.14605777,.14594792
41597,American Medical Sciences Center,6152.7417,1457.437,.16093783,.18653154
41600,Allure School of Cosmetology,87.933563,-4495.4619,.11071817,.046434145
41601,Trinity School of Health and Allied Sciences,4785.3379,-195.36243,.14912578,.16487527
41602,Atlanta Beauty & Barber Academy,536.91296,-4439.5669,.12714419,.061427128
41604,Angeles College,6565.1812,1584.5613,.16361563,.23879124
41606,Paul Mitchell the School-Normal,-831.86127,-5402.041,.10722798,.05683329
41607,Avenue Five Institute,-30.374521,-4850.3218,.11888002,.049065664
41611,Corpus Christi Beauty Academy,232.44537,-4349.0044,.12224168,.034400221
41613,Preferred College of Nursing-Van Nuys,5756.1216,716.10919,.15523781,.18082708
41617,Shasta School of Cosmetology,-1506.6777,-5949.2178,.10448866,.036775015
41619,Mandalyn Academy,-398.29282,-4981.2329,.10658291,.040683225
41622,Laird Institute of Spa Therapy,548.06567,-4326.2393,.12564565,.062909409
41624,Toni & Guy Hairdressing Academy-Albuquerque,-536.81897,-5050.9141,.10658041,.029849838
41625,Hollywood Institute of Beauty Careers,1050.9943,-3900.3533,.13408616,.10588329
41627,Eric Fisher Academy,-987.14667,-5531.3242,.1069,.019954856
41629,Tonsorial Academy of Cosmetology and Barber Styling,147.28694,-4329.4214,.12249307,.033065669
41630,Summit Salon Academy,-1060.5382,-5749.2461,.10674388,.023400588
41631,Summit Salon Academy-Gainesville,-1259.8583,-5727.4731,.10454322,.043882784
41634,Cosmo Beauty Academy,-1504.1177,-6063.8354,.1126657,.035417527
41637,Bitterroot School of Cosmetology,319.18997,-3838.2019,.11056041,.065980069
41638,Master Educators Beauty School,-180.98421,-4566.1592,.11498531,.035715807
41639,LA Barber College,205.82312,-4267.6309,.11914054,.039661936
41641,Montana Academy of Salons,2183.4021,-2432.375,.14390934,.11797377
41644,Angeles Institute,5157.9668,494.41248,.15164356,.19310676
41645,Eureka Institute of Health and Beauty,1091.9965,-3791.999,.1341835,.063907668
41646,D A Dorsey Technical College,8435.4443,4769.2954,.14514029,.23678106
41647,Keweenaw Bay Ojibwa Community College,10114.835,6017.918,.15959896,.24549684
41649,Barone Beauty Academy,-1046.8285,-5555.2256,.10866605,.016180096
41650,Meridian Institute of Surgical Assisting,5818.1416,1347.2634,.15321158,.17547509
41653,Paul Mitchell the School-Milwaukee,1469.6708,-2810.9512,.12298257,.061710745
41657,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,-1056.8665,-5623.5513,.10625294,.050912134
41658,The Salon Professional Academy-Lewisville,-1372.8431,-5743.0117,.11354328,.035567906
41659,Paul Mitchell the School-Fresno,-344.87289,-4863.5063,.10894664,.066623107
41667,Summit Salon Academy-Anderson,-1035.5603,-5631.8164,.11043721,.018042123
41668,Summit Salon Academy-Perrysburg,720.88959,-3589.9104,.1206651,.042570159
41669,Cosmetic Arts Institute,178.87224,-4344.5381,.12073863,.038392823
41670,Paul Mitchell the School-Temecula,-898.96704,-5442.0151,.11252856,.050897781
41673,The Salon Professional Academy-Ft Myers,-1535.5712,-6157.2305,.11259879,.036894269
41674,Sage School of Massage & Esthetics,4330.7656,-652.52673,.14854054,.1437614
41675,World A Cuts Barber Institute,32.103104,-4463.3105,.10879818,.042967606
41676,Finger Lakes School of Massage,4558.127,-216.03242,.14769854,.18538857
41677,The Artisan College of Cosmetology,1727.9739,-2519.0994,.1225992,.065392263
41678,Innovations Design Academy,-230.94196,-4703.9775,.10960518,.035381164
41683,Photographic Center Northwest,3082.762,-2024.2228,.13862067,.10528001
41685,SOLEX College,4629.5571,-440.45923,.16316618,.15858859
41687,Peloton College,3712.752,-692.71002,.13789597,.15712082
41688,ABC Beauty Academy,-1046.8285,-5555.2256,.10866605,.016180096
41689,Holistic Massage Training Institute,4857.8994,-81.976608,.15209587,.15281387
41691,Diamonds Cosmetology College,-36.027756,-4714.3101,.12318265,.032492302
41692,Tramy Beauty School,1420.2435,-3558.0959,.13699038,.078022234
41693,Scholars Cosmetology University,-999.44501,-5606.7622,.10681204,.021294083
41697,Unitek College,5530.5547,1027.3221,.15512156,.21214953
41698,Gurnick Academy of Medical Arts,6574.252,1987.3099,.15583095,.20790885
41699,American Beauty Academy,690.47076,-3766.2522,.1128431,.055828676
41701,Summit Salon Academy,647.49811,-3807.8323,.12050898,.046015892
41702,Paul Mitchell the School-Colorado Springs,1581.2599,-2632.2441,.11414929,.10267543
41703,Beauty Academy of South Florida,-277.66205,-4874.7202,.10972335,.038258489
41706,The Salon Professional Academy-St Charles,-1073.8982,-5706.7192,.11309612,.016575797
41708,Unity Cosmetology College,234.09915,-4344.2769,.1114221,.050099883
41710,Advanced Training Institute,2481.4375,-1858.5824,.13586022,.1030318
41714,Aveda Institute-Portland,-342.50174,-4714.5181,.10691585,.036028497
41715,Cosmopolitan Beauty and Tech School,-404.66599,-5039.1997,.11395882,.034162521
41716,The Salon Professional Academy-Elgin,-669.60394,-5333.1831,.1080447,.031205541
41721,CCIC Beauty College,-440.28616,-5245.813,.11336478,.027120121
41723,Eternity Cosmetology School Corp,-976.87146,-5607.4644,.11511816,.017930411
41725,Rolf Institute of Structural Integration,4770.02,-520.94116,.1677793,.13974074
41727,The Salon Professional Academy-Evansville,-1664.7932,-6343.001,.11052268,.036873464
41728,Body Therapy Institute,4742.8706,-271.01093,.14997786,.15301548
41729,Academy of Cosmetology,-1122.8164,-5609.21,.10522924,.042791355
41731,The Lab-Paul Mitchell Partner School,-658.85876,-5164.6724,.1075048,.058685724
41732,Taylor Andrews Academy of Hair Design-West Jordan,512.07611,-3843.9653,.11215212,.048456687
41734,Santa Ana Beauty Academy,-629.32813,-5302.3438,.11153886,.031818241
41735,Moreno Valley College,7831.8735,2844.9468,.15873305,.22683884
41736,Notter School of Pastry Arts,-234.33205,-5019.5566,.12249076,.019396786
41738,The Salon Professional Academy-Colorado Springs,-1044.7726,-5502.791,.11368823,.041839022
41739,Cosmetology College of Franklin County,-37.099804,-4910.1104,.11852327,.036468539
41740,Skin Institute,147.132,-4274.2764,.11091619,.042765986
41741,Paul Mitchell the School-Phoenix,-20.213959,-4504.4829,.11009241,.073149651
41742,All Beauty College,-942.48639,-5430.876,.11536989,.017384583
41744,The Salon Professional Academy,-489.48618,-5678.0771,.13193455,.032399591
41745,Aveda Institute-New Mexico,-1159.6963,-5693.7031,.11055019,.016572496
41748,American Trade School,2681.9812,-1440.0137,.12697692,.10567703
41749,Estelle Skin Care and Spa Institute,-181.74837,-4803.7344,.11244195,.030231286
41750,Universal Spa Training Academy,1701.5365,-3166.283,.13863628,.10812044
41752,Paul Mitchell the School-East Bay,-123.10242,-4582.6592,.10958365,.070183314
41754,Elite Cosmetology School,-1030.6896,-5724.771,.10962398,.021063082
41756,Park Avenue School of Cosmetology,-974.9812,-5534.1216,.10686408,.020145506
41757,Academy of Aesthetic Arts,29.831881,-4752.6968,.12000944,.037825149
41758,J Renee College,4654.4941,-535.68005,.14346455,.15532348
41761,Norco College,6666.5513,2600.2051,.13417341,.182065
41762,Twin Rivers Adult School,7668.1455,3913.0627,.15940388,.20668773
41767,Aveda Institute-Boise,9.3267841,-4361.939,.11363169,.043492064
41768,Progressive Training Centers,4069.7517,-924.69928,.14927313,.1374629
41769,American Health Institute,4656.1626,-314.06219,.15662892,.14992604
41771,Pima Medical Institute-Aurora,5687.8169,1072.4962,.15894857,.17878792
41772,Real Barbers College,-1092.1884,-5985.6548,.1247189,.0092043681
41773,Ohio Medical Career College,4761.7339,121.9629,.14575845,.16113317
41774,Capilo School of Hair Design,-1073.8982,-5706.7192,.11309612,.016575797
41775,Pure Aesthetics,-86.819847,-4554.8506,.11294408,.026789021
41776,Lindsey Institute of Cosmetology,823.59186,-3494.6404,.11656708,.058494546
41777,Tri-State Institute of Hair Design,-438.76962,-4966.9038,.11383432,.029096307
